,,,,,,,,,,,,,,,,,,,
88,Bảng agencyStaff,Bình thường,Chi tiết response là chính xác,name,-,-,agencyStaff.name,,,,,,,,,,,,
89,Bảng supplier,Bình thường,Chi tiết response là chính xác,supplier,-,Record supplier có id = project.supplierId,"{
※Chi tiết tham chiếu test case bên dưới
}",,,,,,,,,,,,
90,Bảng supplier,Bình thường,Chi tiết response là chính xác,id,-,-,supplier.id,,,,,,,,,,,,
91,Bảng supplier,Bình thường,Chi tiết response là chính xác,name,-,-,supplier.name,,,,,,,,,,,,
92,Bảng project,Bình thường,Chi tiết response là chính xác,companyComment,-,-,project.companyComment,,,,,,,,,,,,
93,Bảng project,Bình thường,Chi tiết response là chính xác,comment,-,-,project.comment,,,,,,,,,,,,
94,Bảng project,Bình thường,Chi tiết response là chính xác,amount,-,-,project.amount,,,,,,,,,,,,
95,Bảng project,Bình thường,Chi tiết response là chính xác,regularDeliveryId,-,-,project.regularDeliveryId,,,,,,,,,,,,
96,Bảng project,Bình thường,Chi tiết response là chính xác,createdAt,-,-,project.createdAt,,,,,,,,,,,,
97,Bảng project,Bình thường,Chi tiết response là chính xác,createdBy,-,-,project.createdBy,,,,,,,,,,,,
98,Bảng project,Bình thường,Chi tiết response là chính xác,createdUserName,-,-,project.createdUserName,,,,,,,,,,,,
99,Bảng project,Bình thường,Chi tiết response là chính xác,updatedAt,-,-,project.updatedAt,,,,,,,,,,,,
100,Bảng project,Bình thường,Chi tiết response là chính xác,updatedBy,-,-,project.updatedBy,,,,,,,,,,,,
101,Bảng project,Bình thường,Chi tiết response là chính xác,updatedUserName,-,-,project.updatedUserName,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,
103,Bảng project,Bình thường,Chi tiết response là chính xác,editStatus,-,Tồn tại dù chỉ 1 record data có [projectDetailId].[projectDetailAddChangeHistory].[loadingRecordId] != NULL,NG,,"OrderSpecChange #150472
Thêm ngày: 2025/06/25",,,,,,,,,,
104,Bảng project,Bình thường,Chi tiết response là chính xác,editStatus,-,Ngược với trường hợp trên,OK,,"OrderSpecChange #150472
Thêm ngày: 2025/06/25",,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,
